year,scheduled_flights,eligible_arrivals,on_time_rate,cancellation_rate
2023,3340569.0,3279959.0,0.7780475304721797,0.015517715694541858
2024,3461319.0,3403465.0,0.780033877239813,0.014059958068008178
2025,3446676.0,3385822.0,0.7810537588804137,0.014980810496838113
2026,3488373.0,3402621.0,0.7787817097466924,0.02181016766268974
