threshold,year,matched_cells,gap
30,2023,4134,0.16798149013789127
30,2024,4141,0.17323816112172624
30,2025,4311,0.15886274036210565
30,2026,4097,0.1596863941062726
60,2023,474,0.1684345780874086
60,2024,457,0.17295000520136442
60,2025,477,0.16304762611494886
60,2026,453,0.15787347534167437
100,2023,33,0.14412791430380056
100,2024,19,0.16757439383423
100,2025,13,0.18752480596628335
100,2026,15,0.1516406311086179
