year,morning_rate,evening_rate,gap,matched_cells,represented_arrivals
2023,0.14398616675581422,0.31196765689370554,0.16798149013789127,4134,430242.0
2024,0.14414427845382793,0.3173824395755539,0.17323816112172624,4141,425578.0
2025,0.13151863634582986,0.2903813767079351,0.15886274036210565,4311,440108.0
2026,0.13737633837523258,0.29706273248150566,0.1596863941062726,4097,424196.0
